"Source:","/home/leah/Documents/6802/6802 v1.kicad_sch"
"Date:","Sun 14 May 2023 20:47:00 BST"
"Tool:","Eeschema 7.0.2-6a45011f42~172~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","19"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","10uF","Device:C_Polarized","","~",""
"2","2","C2, C3","27pF","Device:C","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~",""
"3","1","D1","1N5819","Diode:1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf",""
"4","4","R1, R2, R3, R4","3.3k","Device:R","","~",""
"5","1","SW1","Reset","Switch:SW_Push","","~",""
"6","2","U1, U5","74LS245","74xx:74LS245","","http://www.ti.com/lit/gpn/sn74LS245",""
"7","1","U2","MC6802","68xx:MC6802","Package_DIP:DIP-40_W15.24mm","https://www.jameco.com/Jameco/Products/ProdDS/43502.pdf",""
"8","1","U3","6821","Interface:6821","Package_DIP:DIP-40_W15.24mm","http://pdf.datasheetcatalog.com/datasheet/motorola/6821.pdf",""
"9","1","U4","74LS04","74xx:74LS04","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS04",""
"10","2","U6, U8","UM6116",":UM6116_1","","",""
"11","1","U7","27C512","Memory_EPROM:27C512","Package_DIP:DIP-28_W15.24mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf",""
"12","1","U9","74LS138","74xx:74LS138","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS138",""
"13","1","Y1","4MHz Crystal","Device:Crystal","Crystal:Crystal_HC49-U_Vertical","~",""
